State/UT & Code,Constituency Name & Code,Code Name,Category,Men,Women,Third Gender,Total,state_name_raw,state_code,state_canonical,constituency_name,constituency_type,category_clean,total_recomputed,total_missing,total_diff
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Polling Station - Dates(S) Of Re-Poll If Any,,,,,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Polling Station - Dates(S) Of Re-Poll If Any,0.0,True,
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Polling Station - Numbers Of Polling Stations Where Re-Poll Was Order,,,,,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Polling Station - Numbers Of Polling Stations Where Re-Poll Was Order,0.0,True,
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Dates - Polling Date - 13/05/2024,,,,,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Dates - Polling Date - 13/05/2024,0.0,True,
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Dates - Counting Date - 04/06/2024,,,,,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Dates - Counting Date - 04/06/2024,0.0,True,
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,"Dates - Declaration Of
Result Date - 04/06/2024",,,,,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,"Dates - Declaration Of
Result Date - 04/06/2024",0.0,True,
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Result - Party-Winner: - Yuvajana Sramika Rythu Congress Party,,,,,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Result - Party-Winner: - Yuvajana Sramika Rythu Congress Party,0.0,True,
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Result - Candidate -Winner: - Gumma Thanuja Rani,,,,,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Result - Candidate -Winner: - Gumma Thanuja Rani,0.0,True,
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Result - Winner - Votes ,,,,477005.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Result - Winner - Votes,0.0,False,477005.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Result - Party Runner-Up: - Bharatiya Janata Party,,,,,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Result - Party Runner-Up: - Bharatiya Janata Party,0.0,True,
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Result - Candidate Runner-Up: - Kothapalli Geetha,,,,426427.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Result - Candidate Runner-Up: - Kothapalli Geetha,0.0,False,426427.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Result - Candidate Votes ,,,,,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Result - Candidate Votes,0.0,True,
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Result - Votes- Margin,,,,327901.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Result - Votes- Margin,0.0,False,327901.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Candidates - Nominated,17.0,1.0,0.0,18.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Candidates - Nominated,18.0,False,0.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Candidates - Nomination Rejected,2.0,1.0,0.0,3.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Candidates - Nomination Rejected,3.0,False,0.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Candidates - Withdrawn,0.0,0.0,0.0,0.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Candidates - Withdrawn,0.0,False,0.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Candidates - Contested,15.0,0.0,0.0,15.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Candidates - Contested,15.0,False,0.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Candidates - Forfeited Deposit,13.0,0.0,0.0,13.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Candidates - Forfeited Deposit,13.0,False,0.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Electors - General,785568.0,799460.0,90.0,1585118.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Electors - General,1585118.0,False,0.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Electors - Overseas,74.0,14.0,0.0,88.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Electors - Overseas,88.0,False,0.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Electors - Service,5482.0,306.0,0.0,5788.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Electors - Service,5788.0,False,0.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Electors - Total,791124.0,799780.0,90.0,1590994.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Electors - Total,1590994.0,False,0.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Voters - General,636780.0,648518.0,24.0,1285322.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Voters - General,1285322.0,False,0.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Voters - Overseas,0.0,0.0,0.0,0.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Voters - Overseas,0.0,False,0.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Voters - Proxy,,,,1.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Voters - Proxy,0.0,False,1.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Voters - Postal,,,,22310.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Voters - Postal,0.0,False,22310.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Voters - Total,,,,1307633.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Voters - Total,0.0,False,1307633.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Voters - Votes Not Counted From Cu(S) As Per Eci Instructions,,,,6612.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Voters - Votes Not Counted From Cu(S) As Per Eci Instructions,0.0,False,6612.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Voters - Polling Percentage,,,,82.19,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Voters - Polling Percentage,0.0,False,82.19
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Total Votes Polled On Evm,,,,1285322.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Votes - Total Votes Polled On Evm,0.0,False,1285322.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Total Deducted Votes From Evm,,,,29709.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Votes - Total Deducted Votes From Evm,0.0,False,29709.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Total Valid Votes Polled On Evm,,,,1255613.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Votes - Total Valid Votes Polled On Evm,0.0,False,1255613.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Postal Votes Counted,,,,22310.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Votes - Postal Votes Counted,0.0,False,22310.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Postal Votes Deducted,,,,1931.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Votes - Postal Votes Deducted,0.0,False,1931.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Valid Postal Votes,,,,20379.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Votes - Valid Postal Votes,0.0,False,20379.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Total Valid Votes Polled,,,,1275992.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Votes - Total Valid Votes Polled,0.0,False,1275992.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Test Votes Polled On Evm,,,,0.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Votes - Test Votes Polled On Evm,0.0,False,0.0
