fiscal_year,state,state_size,gdp_share,unit,notes,election_year_clean,state_raw,state_canonical,gdp_share_pct
2010-11,Tamil Nadu,Large,8.4,gdp_share in percentage,,2010,Tamil Nadu,Tamil Nadu,840.0
2010-11,Telangana,Large,3.8,gdp_share in percentage,,2010,Telangana,Telangana,380.0
2010-11,Uttar Pradesh,Large,9.9,gdp_share in percentage,gdp_share:Data for Uttar Pradesh and Uttarakhand Together,2010,Uttar Pradesh,Uttar Pradesh,990.0
2010-11,Uttarakhand,Large,1.2,gdp_share in percentage,,2010,Uttarakhand,Uttarakhand,120.0
2010-11,West Bengal,Large,6.7,gdp_share in percentage,,2010,West Bengal,West Bengal,670.0
2010-11,Andaman and Nicobar Islands,Small,0.06,gdp_share in percentage,,2010,Andaman and Nicobar Islands,Andaman and Nicobar Islands,6.0
2010-11,Arunachal Pradesh,Small,0.1,gdp_share in percentage,,2010,Arunachal Pradesh,Arunachal Pradesh,10.0
2010-11,Chandigarh,Small,0.3,gdp_share in percentage,,2010,Chandigarh,Chandigarh,30.0
2010-11,Goa,Small,0.5,gdp_share in percentage,,2010,Goa,Goa,50.0
2010-11,Himachal Pradesh,Small,0.8,gdp_share in percentage,,2010,Himachal Pradesh,Himachal Pradesh,80.0
2010-11,Jammu and Kashmir,Small,0.8,gdp_share in percentage,,2010,Jammu and Kashmir,Jammu and Kashmir,80.0
2010-11,Manipur,Small,0.1,gdp_share in percentage,,2010,Manipur,Manipur,10.0
2010-11,Meghalaya,Small,0.2,gdp_share in percentage,,2010,Meghalaya,Meghalaya,20.0
2010-11,Mizoram,Small,0.1,gdp_share in percentage,,2010,Mizoram,Mizoram,10.0
2010-11,Nagaland,Small,0.2,gdp_share in percentage,,2010,Nagaland,Nagaland,20.0
2010-11,Puducherry,Small,0.2,gdp_share in percentage,,2010,Puducherry,Puducherry,20.0
2010-11,Sikkim,Small,0.1,gdp_share in percentage,,2010,Sikkim,Sikkim,10.0
2010-11,Tripura,Small,0.3,gdp_share in percentage,,2010,Tripura,Tripura,30.0
2010-11,Andhra Pradesh,Large,4.6,gdp_share in percentage,,2010,Andhra Pradesh,Andhra Pradesh,459.99999999999994
2010-11,Bihar,Large,2.9,gdp_share in percentage,,2010,Bihar,Bihar,290.0
2010-11,Madhya Pradesh,Large,3.8,gdp_share in percentage,,2010,Madhya Pradesh,Madhya Pradesh,380.0
2010-11,Uttar Pradesh,Large,8.7,gdp_share in percentage,,2010,Uttar Pradesh,Uttar Pradesh,869.9999999999999
2000-01,Andhra Pradesh,Large,8.2,gdp_share in percentage,gdp_share: Data for Andhra Pradesh and Telangana Together,2000,Andhra Pradesh,AP-Telangana Combined,819.9999999999999
2000-01,Assam,Large,1.9,gdp_share in percentage,,2000,Assam,Assam,190.0
2000-01,Bihar,Large,4.4,gdp_share in percentage,gdp_share:Data for Bihar and Jharkhand Together,2000,Bihar,Bihar,440.00000000000006
2000-01,Chhattisgarh,Large,1.5,gdp_share in percentage,,2000,Chhattisgarh,Chhattisgarh,150.0
2000-01,Delhi,Large,3.7,gdp_share in percentage,,2000,Delhi,Delhi,370.0
2000-01,Gujarat,Large,6.4,gdp_share in percentage,,2000,Gujarat,Gujarat,640.0
2000-01,Haryana,Large,3.2,gdp_share in percentage,,2000,Haryana,Haryana,320.0
2000-01,Jharkhand,Large,1.7,gdp_share in percentage,,2000,Jharkhand,Jharkhand,170.0
2000-01,Karnataka,Large,6.2,gdp_share in percentage,,2000,Karnataka,Karnataka,620.0
2000-01,Kerala,Large,4.1,gdp_share in percentage,,2000,Kerala,Kerala,409.99999999999994
2000-01,Madhya Pradesh,Large,5.8,gdp_share in percentage,gdp_share:Data for Madhya Pradesh and Chhattisgarh Together,2000,Madhya Pradesh,Madhya Pradesh,580.0
2000-01,Maharashtra,Large,14.0,gdp_share in percentage,,2000,Maharashtra,Maharashtra,1400.0
2000-01,Odisha,Large,2.3,gdp_share in percentage,,2000,Odisha,Odisha,229.99999999999997
2000-01,Punjab,Large,3.9,gdp_share in percentage,,2000,Punjab,Punjab,390.0
2000-01,Rajasthan,Large,4.6,gdp_share in percentage,,2000,Rajasthan,Rajasthan,459.99999999999994
2000-01,Tamil Nadu,Large,8.3,gdp_share in percentage,,2000,Tamil Nadu,Tamil Nadu,830.0000000000001
2000-01,Uttar Pradesh,Large,10.9,gdp_share in percentage,gdp_share:Data for Uttar Pradesh and Uttarakhand Together,2000,Uttar Pradesh,Uttar Pradesh,1090.0
2000-01,Uttarakhand,Large,0.7,gdp_share in percentage,,2000,Uttarakhand,Uttarakhand,70.0
2000-01,West Bengal,Large,8.2,gdp_share in percentage,,2000,West Bengal,West Bengal,819.9999999999999
2000-01,Andaman and Nicobar Islands,Small,0.06,gdp_share in percentage,,2000,Andaman and Nicobar Islands,Andaman and Nicobar Islands,6.0
2000-01,Arunachal Pradesh,Small,0.1,gdp_share in percentage,,2000,Arunachal Pradesh,Arunachal Pradesh,10.0
2000-01,Chandigarh,Small,0.2,gdp_share in percentage,,2000,Chandigarh,Chandigarh,20.0
2000-01,Goa,Small,0.5,gdp_share in percentage,,2000,Goa,Goa,50.0
2000-01,Himachal Pradesh,Small,0.8,gdp_share in percentage,,2000,Himachal Pradesh,Himachal Pradesh,80.0
2000-01,Jammu and Kashmir,Small,0.9,gdp_share in percentage,,2000,Jammu and Kashmir,Jammu and Kashmir,90.0
2000-01,Manipur,Small,0.2,gdp_share in percentage,,2000,Manipur,Manipur,20.0
2000-01,Meghalaya,Small,0.2,gdp_share in percentage,,2000,Meghalaya,Meghalaya,20.0
2000-01,Mizoram,Small,0.1,gdp_share in percentage,,2000,Mizoram,Mizoram,10.0
2000-01,Nagaland,Small,0.2,gdp_share in percentage,,2000,Nagaland,Nagaland,20.0
2000-01,Puducherry,Small,0.2,gdp_share in percentage,,2000,Puducherry,Puducherry,20.0
2000-01,Sikkim,Small,0.1,gdp_share in percentage,,2000,Sikkim,Sikkim,10.0
2000-01,Tripura,Small,0.3,gdp_share in percentage,,2000,Tripura,Tripura,30.0
2000-01,Andhra Pradesh,Large,8.2,gdp_share in percentage,,2000,Andhra Pradesh,Andhra Pradesh,819.9999999999999
2000-01,Bihar,Large,2.8,gdp_share in percentage,,2000,Bihar,Bihar,280.0
2000-01,Madhya Pradesh,Large,4.3,gdp_share in percentage,,2000,Madhya Pradesh,Madhya Pradesh,430.0
2000-01,Uttar Pradesh,Large,10.2,gdp_share in percentage,,2000,Uttar Pradesh,Uttar Pradesh,1019.9999999999999
1990-91,Andhra Pradesh,Large,7.6,gdp_share in percentage,gdp_share: Data for Andhra Pradesh and Telangana Together,1990,Andhra Pradesh,AP-Telangana Combined,760.0
1990-91,Assam,Large,2.4,gdp_share in percentage,,1990,Assam,Assam,240.0
1990-91,Bihar,Large,6.0,gdp_share in percentage,gdp_share:Data for Bihar and Jharkhand Together,1990,Bihar,Bihar-Jharkhand Combined,600.0
1990-91,Chhattisgarh,Large,,gdp_share in percentage,,1990,Chhattisgarh,Chhattisgarh,
1990-91,Delhi,Large,2.6,gdp_share in percentage,,1990,Delhi,Delhi,260.0
1990-91,Gujarat,Large,6.4,gdp_share in percentage,,1990,Gujarat,Gujarat,640.0
1990-91,Haryana,Large,3.1,gdp_share in percentage,,1990,Haryana,Haryana,310.0
1990-91,Jharkhand,Large,,gdp_share in percentage,,1990,Jharkhand,Jharkhand,
1990-91,Karnataka,Large,5.3,gdp_share in percentage,,1990,Karnataka,Karnataka,530.0
1990-91,Kerala,Large,3.2,gdp_share in percentage,,1990,Kerala,Kerala,320.0
1990-91,Madhya Pradesh,Large,6.9,gdp_share in percentage,gdp_share:Data for Madhya Pradesh and Chhattisgarh Together,1990,Madhya Pradesh,MP-Chhattisgarh Combined,690.0
1990-91,Maharashtra,Large,14.6,gdp_share in percentage,,1990,Maharashtra,Maharashtra,1460.0
1990-91,Odisha,Large,2.5,gdp_share in percentage,,1990,Odisha,Odisha,250.0
1990-91,Punjab,Large,4.3,gdp_share in percentage,,1990,Punjab,Punjab,430.0
1990-91,Rajasthan,Large,4.7,gdp_share in percentage,,1990,Rajasthan,Rajasthan,470.0
1990-91,Tamil Nadu,Large,7.1,gdp_share in percentage,,1990,Tamil Nadu,Tamil Nadu,710.0
1990-91,Uttar Pradesh,Large,12.6,gdp_share in percentage,gdp_share:Data for Uttar Pradesh and Uttarakhand Together,1990,Uttar Pradesh,Uttar Pradesh,1260.0
1990-91,Uttarakhand,Large,,gdp_share in percentage,,1990,Uttarakhand,Uttarakhand,
1990-91,West Bengal,Large,7.9,gdp_share in percentage,,1990,West Bengal,West Bengal,790.0
1990-91,Andaman and Nicobar Islands,Small,0.04,gdp_share in percentage,,1990,Andaman and Nicobar Islands,Andaman and Nicobar Islands,4.0
1990-91,Arunachal Pradesh,Small,0.1,gdp_share in percentage,,1990,Arunachal Pradesh,Arunachal Pradesh,10.0
1990-91,Chandigarh,Small,,gdp_share in percentage,,1990,Chandigarh,Chandigarh,
1990-91,Goa,Small,0.3,gdp_share in percentage,,1990,Goa,Goa,30.0
1990-91,Himachal Pradesh,Small,0.6,gdp_share in percentage,,1990,Himachal Pradesh,Himachal Pradesh,60.0
1990-91,Jammu and Kashmir,Small,0.8,gdp_share in percentage,,1990,Jammu and Kashmir,Jammu and Kashmir,80.0
1990-91,Manipur,Small,0.2,gdp_share in percentage,,1990,Manipur,Manipur,20.0
1990-91,Meghalaya,Small,0.2,gdp_share in percentage,,1990,Meghalaya,Meghalaya,20.0
1990-91,Mizoram,Small,0.1,gdp_share in percentage,,1990,Mizoram,Mizoram,10.0
1990-91,Nagaland,Small,0.1,gdp_share in percentage,,1990,Nagaland,Nagaland,10.0
1990-91,Puducherry,Small,0.1,gdp_share in percentage,,1990,Puducherry,Puducherry,10.0
1990-91,Sikkim,Small,0.1,gdp_share in percentage,,1990,Sikkim,Sikkim,10.0
1990-91,Tripura,Small,0.2,gdp_share in percentage,,1990,Tripura,Tripura,20.0
1990-91,Andhra Pradesh,Large,7.6,gdp_share in percentage,,1990,Andhra Pradesh,Andhra Pradesh,760.0
1990-91,Bihar,Large,6.0,gdp_share in percentage,,1990,Bihar,Bihar,600.0
1990-91,Madhya Pradesh,Large,6.9,gdp_share in percentage,,1990,Madhya Pradesh,Madhya Pradesh,690.0
