State/UT & Code,Constituency Name & Code,Code Name,Category,Men,Women,Third Gender,Total
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Votes - Total Votes Polled On Evm,,,,1309601.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Votes - Total Deducted Votes From Evm,,,,29337.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Votes - Total Valid Votes Polled On Evm,,,,1280264.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Votes - Postal Votes Counted,,,,19125.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Votes - Postal Votes Deducted,,,,292.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Votes - Valid Postal Votes,,,,18833.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Votes - Total Valid Votes Polled,,,,1299097.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Votes - Test Votes Polled On Evm,,,,0.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Votes - Votes Polled For 'Nota'(Including Postal),,,,26235.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Votes - Tendered Votes,,,,0.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Polling Station - Number,,,,1828.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Polling Station - Average Electors Per Polling,,,,876.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Polling Station - Dates(S) Of Re-Poll If Any,,,,
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Polling Station - Numbers Of Polling Stations Where Re-Poll Was Order,,,,
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Dates - Polling Date - 13/05/2024,,,,
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Dates - Counting Date - 04/06/2024,,,,
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,"Dates - Declaration Of
Result Date - 04/06/2024",,,,
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Result - Party-Winner: - Yuvajana Sramika Rythu Congress Party,,,,
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Result - Candidate -Winner: - Gumma Thanuja Rani,,,,
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Result - Winner - Votes ,,,,477005.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Result - Party Runner-Up: - Bharatiya Janata Party,,,,
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Result - Candidate Runner-Up: - Kothapalli Geetha,,,,465539.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Result - Candidate Votes ,,,,
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Result - Votes- Margin,,,,296530.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Candidates - Nominated,26.0,2.0,0.0,28.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Candidates - Nomination Rejected,9.0,1.0,0.0,10.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Candidates - Withdrawn,3.0,0.0,0.0,3.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Candidates - Contested,14.0,1.0,0.0,15.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Candidates - Forfeited Deposit,12.0,1.0,0.0,13.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Electors - General,804231.0,829405.0,186.0,1633822.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Electors - Overseas,234.0,66.0,0.0,300.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Electors - Service,769.0,30.0,0.0,799.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Electors - Total,805234.0,829501.0,186.0,1634921.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Voters - General,652890.0,659778.0,102.0,1312770.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Voters - Overseas,0.0,0.0,0.0,0.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Voters - Proxy,,,,0.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Voters - Postal,,,,18616.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Voters - Total,,,,1331386.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Voters - Votes Not Counted From Cu(S) As Per Eci Instructions,,,,0.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Voters - Polling Percentage,,,,81.43
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Votes - Total Votes Polled On Evm,,,,1312770.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Votes - Total Deducted Votes From Evm,,,,17105.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Votes - Total Valid Votes Polled On Evm,,,,1295665.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Votes - Postal Votes Counted,,,,18616.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Votes - Postal Votes Deducted,,,,1698.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Votes - Valid Postal Votes,,,,16918.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Votes - Total Valid Votes Polled,,,,1312583.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Votes - Test Votes Polled On Evm,,,,0.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Votes - Votes Polled For 'Nota'(Including Postal),,,,17220.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Votes - Tendered Votes,,,,31.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Polling Station - Number,,,,1640.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Polling Station - Average Electors Per Polling,,,,997.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Polling Station - Dates(S) Of Re-Poll If Any,,,,
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Polling Station - Numbers Of Polling Stations Where Re-Poll Was Order,,,,
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Dates - Polling Date - 13/05/2024,,,,
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Dates - Counting Date - 04/06/2024,,,,
Andhra Pradesh-S01,Kakinada-GEN,S01_6,"Dates - Declaration Of
Result Date - 04/06/2024",,,,
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Result - Party-Winner: - Yuvajana Sramika Rythu Congress Party,,,,
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Result - Candidate -Winner: - Gumma Thanuja Rani,,,,
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Result - Winner - Votes ,,,,477005.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Result - Party Runner-Up: - Bharatiya Janata Party,,,,
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Result - Candidate Runner-Up: - Kothapalli Geetha,,,,500208.0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Result - Candidate Votes ,,,,
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Result - Votes- Margin,,,,229491.0
Andhra Pradesh-S01,Amalapuram-SC,S01_7,Candidates - Nominated,20.0,1.0,0.0,21.0
Andhra Pradesh-S01,Amalapuram-SC,S01_7,Candidates - Nomination Rejected,5.0,0.0,0.0,5.0
Andhra Pradesh-S01,Amalapuram-SC,S01_7,Candidates - Withdrawn,0.0,1.0,0.0,1.0
Andhra Pradesh-S01,Amalapuram-SC,S01_7,Candidates - Contested,15.0,0.0,0.0,15.0
Andhra Pradesh-S01,Amalapuram-SC,S01_7,Candidates - Forfeited Deposit,13.0,0.0,0.0,13.0
Andhra Pradesh-S01,Amalapuram-SC,S01_7,Electors - General,758883.0,772229.0,21.0,1531133.0
Andhra Pradesh-S01,Amalapuram-SC,S01_7,Electors - Overseas,221.0,56.0,0.0,277.0
Andhra Pradesh-S01,Amalapuram-SC,S01_7,Electors - Service,794.0,25.0,0.0,819.0
Andhra Pradesh-S01,Amalapuram-SC,S01_7,Electors - Total,759898.0,772310.0,21.0,1532229.0
Andhra Pradesh-S01,Amalapuram-SC,S01_7,Voters - General,644627.0,640319.0,11.0,1284957.0
Andhra Pradesh-S01,Amalapuram-SC,S01_7,Voters - Overseas,0.0,0.0,0.0,0.0
Andhra Pradesh-S01,Amalapuram-SC,S01_7,Voters - Proxy,,,,0.0
Andhra Pradesh-S01,Amalapuram-SC,S01_7,Voters - Postal,,,,16977.0
Andhra Pradesh-S01,Amalapuram-SC,S01_7,Voters - Total,,,,1301934.0
Andhra Pradesh-S01,Amalapuram-SC,S01_7,Voters - Votes Not Counted From Cu(S) As Per Eci Instructions,,,,0.0
Andhra Pradesh-S01,Amalapuram-SC,S01_7,Voters - Polling Percentage,,,,84.97
Andhra Pradesh-S01,Amalapuram-SC,S01_7,Votes - Total Votes Polled On Evm,,,,1284957.0
