fiscal_year,state,state_size,gdp_share,unit,notes
1990-91,Nagaland,Small,0.1,gdp_share in percentage,
1990-91,Puducherry,Small,0.1,gdp_share in percentage,
1990-91,Sikkim,Small,0.1,gdp_share in percentage,
1990-91,Tripura,Small,0.2,gdp_share in percentage,
1990-91,Andhra Pradesh,Large,7.6,gdp_share in percentage,
1990-91,Bihar,Large,6.0,gdp_share in percentage,
1990-91,Madhya Pradesh,Large,6.9,gdp_share in percentage,
1990-91,Uttar Pradesh,Large,12.6,gdp_share in percentage,
1980-81,Andhra Pradesh,Large,7.0,gdp_share in percentage,gdp_share: Data for Andhra Pradesh and Telangana Together
1980-81,Assam,Large,2.1,gdp_share in percentage,
1980-81,Bihar,Large,6.3,gdp_share in percentage,gdp_share:Data for Bihar and Jharkhand Together
1980-81,Chhattisgarh,Large,,gdp_share in percentage,
1980-81,Delhi,Large,2.3,gdp_share in percentage,
1980-81,Gujarat,Large,6.3,gdp_share in percentage,
1980-81,Haryana,Large,2.9,gdp_share in percentage,
1980-81,Jharkhand,Large,,gdp_share in percentage,
1980-81,Karnataka,Large,5.3,gdp_share in percentage,
1980-81,Kerala,Large,3.6,gdp_share in percentage,
1980-81,Madhya Pradesh,Large,6.6,gdp_share in percentage,gdp_share:Data for Madhya Pradesh and Chhattisgarh Together
1980-81,Maharashtra,Large,14.2,gdp_share in percentage,
1980-81,Odisha,Large,3.2,gdp_share in percentage,
1980-81,Punjab,Large,4.3,gdp_share in percentage,
1980-81,Rajasthan,Large,3.9,gdp_share in percentage,
1980-81,Tamil Nadu,Large,6.9,gdp_share in percentage,
1980-81,Uttar Pradesh,Large,13.2,gdp_share in percentage,gdp_share:Data for Uttar Pradesh and Uttarakhand Together
1980-81,Uttarakhand,Large,,gdp_share in percentage,
1980-81,West Bengal,Large,8.8,gdp_share in percentage,
1980-81,Andaman and Nicobar Islands,Small,0.05,gdp_share in percentage,
1980-81,Arunachal Pradesh,Small,0.1,gdp_share in percentage,
1980-81,Chandigarh,Small,,gdp_share in percentage,
1980-81,Goa,Small,0.3,gdp_share in percentage,
1980-81,Himachal Pradesh,Small,0.7,gdp_share in percentage,
1980-81,Jammu and Kashmir,Small,1.0,gdp_share in percentage,
1980-81,Manipur,Small,0.2,gdp_share in percentage,
1980-81,Meghalaya,Small,0.2,gdp_share in percentage,
1980-81,Mizoram,Small,0.1,gdp_share in percentage,
1980-81,Nagaland,Small,0.1,gdp_share in percentage,
1980-81,Puducherry,Small,0.2,gdp_share in percentage,
1980-81,Sikkim,Small,0.0,gdp_share in percentage,
1980-81,Tripura,Small,0.2,gdp_share in percentage,
1980-81,Andhra Pradesh,Large,7.0,gdp_share in percentage,
1980-81,Bihar,Large,6.3,gdp_share in percentage,
1980-81,Madhya Pradesh,Large,6.6,gdp_share in percentage,
1980-81,Uttar Pradesh,Large,13.2,gdp_share in percentage,
1970-71,Andhra Pradesh,Large,7.7,gdp_share in percentage,gdp_share: Data for Andhra Pradesh and Telangana Together
1970-71,Assam,Large,2.4,gdp_share in percentage,
1970-71,Bihar,Large,6.9,gdp_share in percentage,gdp_share:Data for Bihar and Jharkhand Together
1970-71,Chhattisgarh,Large,,gdp_share in percentage,
1970-71,Delhi,Large,1.5,gdp_share in percentage,
1970-71,Gujarat,Large,6.7,gdp_share in percentage,
1970-71,Haryana,Large,2.7,gdp_share in percentage,
1970-71,Jharkhand,Large,,gdp_share in percentage,
1970-71,Karnataka,Large,5.7,gdp_share in percentage,
1970-71,Kerala,Large,3.8,gdp_share in percentage,
1970-71,Madhya Pradesh,Large,6.1,gdp_share in percentage,gdp_share:Data for Madhya Pradesh and Chhattisgarh Together
1970-71,Maharashtra,Large,11.9,gdp_share in percentage,
1970-71,Odisha,Large,3.2,gdp_share in percentage,
1970-71,Punjab,Large,4.4,gdp_share in percentage,
1970-71,Rajasthan,Large,5.1,gdp_share in percentage,
1970-71,Tamil Nadu,Large,7.3,gdp_share in percentage,
1970-71,Uttar Pradesh,Large,13.0,gdp_share in percentage,gdp_share:Data for Uttar Pradesh and Uttarakhand Together
1970-71,Uttarakhand,Large,,gdp_share in percentage,
1970-71,West Bengal,Large,9.7,gdp_share in percentage,
1970-71,Andaman and Nicobar Islands,Small,,gdp_share in percentage,
1970-71,Arunachal Pradesh,Small,0.1,gdp_share in percentage,
1970-71,Chandigarh,Small,,gdp_share in percentage,
1970-71,Goa,Small,,gdp_share in percentage,
